facultad,grado,valor selectividad,año
Ciencias de la Salud,Veterinaria,11.11 ,2015-2016
Ciencias de la Salud,Veterinaria,11.246 ,2016-2017
Ciencias de la Salud,Veterinaria,10.794 ,2017-2018
Ciencias de la Salud,Veterinaria,10.137 ,2018-2019
Ciencias de la Salud,Veterinaria,10.712 ,2019-2020
Ciencias de la Salud,Veterinaria,11.131 ,2020-2021
Ciencias de la Salud,Veterinaria,11.733 ,2021-2022
Ciencias de la Salud,Veterinaria,11.576 ,2022-2023
Ciencias,Biología,5.785 ,2011-2012
Ciencias,Biología,6.553 ,2012-2013
Ciencias,Biología,7.905 ,2013-2014
Ciencias,Biología,8.239 ,2014-2015
Ciencias,Biología,8.754 ,2015-2016
Ciencias,Biología,8.268 ,2016-2017
Ciencias,Biología,8.364 ,2017-2018
Ciencias,Biología,9.009 ,2018-2019
Ciencias,Biología,8.12 ,2019-2020
Ciencias,Biología,9.178 ,2020-2021
Ciencias,Biología,9.406 ,2020-2021
Ciencias,Biología,9.577 ,2021-2021
Ciencias,Bioquímica,8.574 ,2011-2012
Ciencias,Bioquímica,10.187 ,2012-2013
Ciencias,Bioquímica,10.716 ,2013-2014
Ciencias,Bioquímica,10.832 ,2014-2015
Ciencias,Bioquímica,11.442 ,2015-2016
Ciencias,Bioquímica,10.587 ,2016-2017
Ciencias,Bioquímica,11.30 ,2017-2018
Ciencias,Bioquímica,11.721 ,2018-2019
Ciencias,Bioquímica,10.825 ,2019-2020
Ciencias,Bioquímica,11.775 ,2020-2021
Ciencias,Bioquímica,9.805 ,2020-2021
Ciencias,Bioquímica,11.072 ,2021-2021
Ciencias,Biotecnología,10.392 ,2011-2012
Ciencias,Biotecnología,11.076 ,2012-2013
Ciencias,Biotecnología,11.485 ,2013-2014
Ciencias,Biotecnología,10.812 ,2014-2015
Ciencias,Biotecnología,12.019 ,2015-2016
Ciencias,Biotecnología,10.355 ,2016-2017
Ciencias,Biotecnología,11.715 ,2017-2018
Ciencias,Biotecnología,11.872 ,2018-2019
Ciencias,Biotecnología,11.222 ,2019-2020
Ciencias,Biotecnología,12.132 ,2020-2021
Ciencias,Biotecnología,12.139 ,2020-2021
Ciencias,Biotecnología,12.062 ,2021-2021
Ciencias,Ciencia y Tecnología de los Alimentos,6.640 ,2011-2012
Ciencias,Ciencia y Tecnología de los Alimentos,8.443 ,2012-2013
Ciencias,Ciencia y Tecnología de los Alimentos,6.402 ,2013-2014
Ciencias,Ciencia y Tecnología de los Alimentos,6.670 ,2014-2015
Ciencias,Ciencia y Tecnología de los Alimentos,7.444 ,2015-2016
Ciencias,Ciencia y Tecnología de los Alimentos,8.476 ,2016-2017
Ciencias,Ciencia y Tecnología de los Alimentos,5.522 ,2017-2018
Ciencias,Ciencia y Tecnología de los Alimentos,8.067 ,2018-2019
Ciencias,Ciencia y Tecnología de los Alimentos,7.17 ,2019-2020
Ciencias,Ciencia y Tecnología de los Alimentos,7.718 ,2020-2021
Ciencias,Ciencia y Tecnología de los Alimentos,6.7 ,2020-2021
Ciencias,Ciencia y Tecnología de los Alimentos,7.149 ,2021-2021
Ciencias,Ciencias Ambientales,6.316 ,2011-2012
Ciencias,Ciencias Ambientales,5.003 ,2012-2013
Ciencias,Ciencias Ambientales,5.208 ,2013-2014
Ciencias,Ciencias Ambientales,7.270 ,2014-2015
Ciencias,Ciencias Ambientales,5.926 ,2015-2016
Ciencias,Ciencias Ambientales,6.002 ,2016-2017
Ciencias,Ciencias Ambientales,5.249 ,2017-2018
Ciencias,Ciencias Ambientales,5.693 ,2018-2019
Ciencias,Ciencias Ambientales,6.4 ,2019-2020
Ciencias,Ciencias Ambientales,7.31 ,2020-2021
Ciencias,Ciencias Ambientales,6.602 ,2020-2021
Ciencias,Ciencias Ambientales,5.658 ,2021-2021
Ciencias,Física,5.284 ,2011-2012
Ciencias,Física,6.63 ,2012-2013
Ciencias,Física,8.063 ,2013-2014
Ciencias,Física,5.370<,2014-2015
Ciencias,Física,7.99 ,2015-2016
Ciencias,Física,7.713 ,2016-2017
Ciencias,Física,8.57 ,2017-2018
Ciencias,Física,10.415 ,2018-2019
Ciencias,Física,10.756 ,2019-2020
Ciencias,Física,11 ,2020-2021
Ciencias,Física,11.773 ,2020-2021
Ciencias,Física,11.083 ,2021-2021
Ciencias,Matemáticas,5.534 ,2011-2012
Ciencias,Matemáticas,5 ,2012-2013
Ciencias,Matemáticas,5 ,2013-2014
Ciencias,Matemáticas,6.051 ,2014-2015
Ciencias,Matemáticas,6.41 ,2015-2016
Ciencias,Matemáticas,6.389 ,2016-2017
Ciencias,Matemáticas,8.179 ,2017-2018
Ciencias,Matemáticas,9.89 ,2018-2019
Ciencias,Matemáticas,11.067 ,2019-2020
Ciencias,Matemáticas,11.853 ,2020-2021
Ciencias,Matemáticas,12.516 ,2020-2021
Ciencias,Matemáticas,11.607 ,2021-2021
Ciencias,Química,5.326 ,2011-2012
Ciencias,Química,6.276 ,2012-2013
Ciencias,Química,6.889 ,2013-2014
Ciencias,Química,6.749 ,2014-2015
Ciencias,Química,7.537 ,2015-2016
Ciencias,Química,7.115 ,2016-2017
Ciencias,Química,7.867 ,2017-2018
Ciencias,Química,9.425 ,2018-2019
Ciencias,Química,10.048 ,2019-2020
Ciencias,Química,9.397 ,2020-2021
Ciencias,Química,8.253 ,2020-2021
Ciencias,Química,8.991 ,2021-2021
Ciencias,PCEO Matemáticas e Ingeniería Informática,5.904 ,2011-2012
Ciencias,PCEO Matemáticas e Ingeniería Informática,7.095 ,2012-2013
Ciencias,PCEO Matemáticas e Ingeniería Informática,6.086 ,2013-2014
Ciencias,PCEO Matemáticas e Ingeniería Informática,8 ,2014-2015
Ciencias,PCEO Matemáticas e Ingeniería Informática,6.164 ,2015-2016
Ciencias,PCEO Matemáticas e Ingeniería Informática,8.181 ,2016-2017
Ciencias,PCEO Matemáticas e Ingeniería Informática,10.706 ,2017-2018
Ciencias,PCEO Matemáticas e Ingeniería Informática,12.306 ,2018-2019
Ciencias,PCEO Matemáticas e Ingeniería Informática,12.513 ,2019-2020
Ciencias,PCEO Matemáticas e Ingeniería Informática,12.868 ,2020-2021
Ciencias,PCEO Matemáticas e Ingeniería Informática,13.46 ,2020-2021
Ciencias,PCEO Matemáticas e Ingeniería Informática,13.104 ,2021-2021
Ciencias,PCEO Matemáticas y Física,nan,2011-2012
Ciencias,PCEO Matemáticas y Física,nan,2012-2013
Ciencias,PCEO Matemáticas y Física,nan,2013-2014
Ciencias,PCEO Matemáticas y Física,nan,2014-2015
Ciencias,PCEO Matemáticas y Física,nan,2015-2016
Ciencias,PCEO Matemáticas y Física,nan,2016-2017
Ciencias,PCEO Matemáticas y Física,nan,2017-2018
Ciencias,PCEO Matemáticas y Física,nan,2018-2019
Ciencias,PCEO Matemáticas y Física,nan,2019-2020
Ciencias,PCEO Matemáticas y Física,nan,2020-2021
Ciencias,PCEO Matemáticas y Física,13.480 ,2020-2021
Ciencias,PCEO Matemáticas y Física,13.651 ,2021-2021
Ciencias,PCEO Química e Ingeniería Química,nan,2011-2012
Ciencias,PCEO Química e Ingeniería Química,nan,2012-2013
Ciencias,PCEO Química e Ingeniería Química,nan,2013-2014
Ciencias,PCEO Química e Ingeniería Química,nan,2014-2015
Ciencias,PCEO Química e Ingeniería Química,nan,2015-2016
Ciencias,PCEO Química e Ingeniería Química,nan,2016-2017
Ciencias,PCEO Química e Ingeniería Química,nan,2017-2018
Ciencias,PCEO Química e Ingeniería Química,nan,2018-2019
Ciencias,PCEO Química e Ingeniería Química,nan,2019-2020
Ciencias,PCEO Química e Ingeniería Química,10.184 ,2020-2021
Ciencias,PCEO Química e Ingeniería Química,12.432 ,2020-2021
Ciencias,PCEO Química e Ingeniería Química,11.886 ,2021-2021
